INSTANCE;VALUE_GR;WEIGHT_GR;EXECUTION_TIME_GR;VALUE_BF;WEIGHT_BF;EXECUTION_TIME_BF;VALUE_DP;WEIGHT_DP;EXECUTION_TIME_DP;VALUE_BNB;WEIGHT_BNB;EXECUTION_TIME_BNB
problem_10_50_1_1;159;50;0.000000;159;50;0.007004;159;50;0.000000;159;50;0.000000
problem_10_50_1_2;214;61;0.000000;214;61;0.005003;168;57;0.000000;214;61;0.000000
problem_10_50_1_3;184;100;0.000000;199;121;0.004002;185;118;0.001000;193;108;0.000000
problem_10_50_1_4;246;221;0.000000;246;221;0.009007;212;226;0.000000;246;221;0.000000
problem_10_50_1_5;213;242;0.000000;213;242;0.004003;213;242;0.001001;213;242;0.000000
problem_10_50_2_1;63;48;0.000000;64;50;0.008005;64;50;0.000000;64;50;0.000000
problem_10_50_2_2;45;30;0.000000;79;61;0.007005;74;61;0.000000;76;58;0.000000
problem_10_50_2_3;113;102;0.000000;130;122;0.009005;130;122;0.001000;130;122;0.000000
problem_10_50_2_4;195;185;0.000000;233;228;0.004003;233;226;0.000000;219;214;0.000000
problem_10_50_2_5;226;222;0.000000;238;237;0.004002;237;242;0.000000;226;222;0.000000
problem_10_50_3_1;73;43;0.000000;79;49;0.006003;79;49;0.000000;73;43;0.000000
problem_10_50_3_2;126;66;0.000000;135;75;0.005004;127;77;0.000000;126;66;0.000000
problem_10_50_3_3;182;112;0.000000;182;112;0.004002;173;113;0.000000;182;112;0.000000
problem_10_50_3_4;283;213;0.000000;308;238;0.007004;308;238;0.001001;283;213;0.000000
problem_10_50_3_5;287;197;0.000000;290;200;0.004002;281;201;0.000000;287;197;0.001001
problem_10_50_4_1;35;35;0.000000;51;51;0.005053;50;50;0.000000;41;41;0.000000
problem_10_50_4_2;50;50;0.000000;79;79;0.008005;79;79;0.000000;79;79;0.000000
problem_10_50_4_3;92;92;0.000000;113;113;0.004503;113;113;0.000000;111;111;0.000000
problem_10_50_4_4;229;229;0.000000;238;238;0.008005;238;238;0.000000;229;229;0.000000
